product,market,month,Qty
Gown protective,Wayne County,Jan-20,81
Gown protective,Wayne County,Feb-20,88
Gown protective,Wayne County,Mar-20,81
Gown protective,Wayne County,Apr-20,77
Gown protective,Wayne County,May-20,85
Gown protective,Wayne County,Jun-20,84
Gown protective,Wayne County,Jul-20,78
Gown protective,Wayne County,Aug-20,77
Gown protective,Wayne County,Sep-20,69
Gown protective,Wayne County,Oct-20,72
Gown protective,Wayne County,Nov-20,69
Gown protective,Wayne County,Dec-20,71
Gown protective,Wayne County,Jan-20,72
Gown protective,Wayne County,Feb-20,66
Gown protective,Wayne County,Mar-20,72
Gown protective,Wayne County,Apr-20,69
Gown protective,Wayne County,May-20,69
Gown protective,Wayne County,Jun-20,61
Gown protective,Wayne County,Jul-20,59
Gown protective,Wayne County,Aug-20,56
Gown protective,Wayne County,Sep-20,62
Gown protective,Wayne County,Oct-20,58
Gown protective,Wayne County,Nov-20,57
Gown protective,Wayne County,Dec-20,53
Gown protective,Oakland County,Jan-20,93
Gown protective,Oakland County,Feb-20,96
Gown protective,Oakland County,Mar-20,97
Gown protective,Oakland County,Apr-20,92
Gown protective,Oakland County,May-20,92
Gown protective,Oakland County,Jun-20,85
Gown protective,Oakland County,Jul-20,83
Gown protective,Oakland County,Aug-20,81
Gown protective,Oakland County,Sep-20,77
Gown protective,Oakland County,Oct-20,77
Gown protective,Oakland County,Nov-20,84
Gown protective,Oakland County,Dec-20,74
Gown protective,Oakland County,Jan-20,78
Gown protective,Oakland County,Feb-20,79
Gown protective,Oakland County,Mar-20,72
Gown protective,Oakland County,Apr-20,73
Gown protective,Oakland County,May-20,71
Gown protective,Oakland County,Jun-20,72
Gown protective,Oakland County,Jul-20,70
Gown protective,Oakland County,Aug-20,68
Gown protective,Oakland County,Sep-20,67
Gown protective,Oakland County,Oct-20,65
Gown protective,Oakland County,Nov-20,60
Gown protective,Oakland County,Dec-20,64
Gown protective,Macomb County,Jan-20,90
Gown protective,Macomb County,Feb-20,88
Gown protective,Macomb County,Mar-20,90
