product,market,month,demand,allocation,absdiff,reldiff
Gown protective,Wayne County,Jan-20,76.5,74,2,3.225806451612903
Gown protective,Wayne County,Feb-20,77.0,74,3,3.8461538461538463
Gown protective,Wayne County,Mar-20,76.5,73,3,4.516129032258065
Gown protective,Wayne County,Apr-20,73.0,68,5,6.756756756756757
Gown protective,Wayne County,May-20,77.0,72,5,6.410256410256411
Gown protective,Wayne County,Jun-20,72.5,66,6,8.843537414965986
Gown protective,Wayne County,Jul-20,68.5,68,0,0.7194244604316546
Gown protective,Wayne County,Aug-20,66.5,63,3,5.185185185185185
Gown protective,Wayne County,Sep-20,65.5,65,0,0.7518796992481203
Gown protective,Oakland County,Jan-20,85.5,78,7,8.670520231213873
Gown protective,Oakland County,Feb-20,87.5,80,7,8.474576271186441
Gown protective,Oakland County,Mar-20,84.5,77,7,8.771929824561404
Gown protective,Oakland County,Apr-20,82.5,73,9,11.377245508982035
Gown protective,Oakland County,May-20,81.5,71,10,12.727272727272727
Gown protective,Oakland County,Jun-20,78.5,68,10,13.20754716981132
Gown protective,Oakland County,Jul-20,76.5,71,5,7.096774193548387
Gown protective,Oakland County,Aug-20,74.5,66,8,11.258278145695364
Gown protective,Oakland County,Sep-20,72.0,67,5,6.8493150684931505
Gown protective,Macomb County,Jan-20,85.0,82,3,3.488372093023256
Gown protective,Macomb County,Feb-20,79.0,75,4,5.0
Gown protective,Macomb County,Mar-20,81.5,77,4,5.454545454545454
Gown protective,Macomb County,Apr-20,79.0,74,5,6.25
Gown protective,Macomb County,May-20,79.0,74,5,6.25
Gown protective,Macomb County,Jun-20,78.5,72,6,8.176100628930818
Gown protective,Macomb County,Jul-20,73.5,72,1,2.0134228187919465
Gown protective,Macomb County,Aug-20,72.5,69,3,4.761904761904762
Gown protective,Macomb County,Sep-20,68.5,68,0,0.7194244604316546
Gown protective,Genesee County,Jan-20,58.0,51,7,11.864406779661017
Gown protective,Genesee County,Feb-20,59.5,54,5,9.090909090909092
Gown protective,Genesee County,Mar-20,54.0,46,8,14.545454545454545
Gown protective,Genesee County,Apr-20,56.0,47,9,15.789473684210526
Gown protective,Genesee County,May-20,53.5,43,10,19.26605504587156
Gown protective,Genesee County,Jun-20,54.0,43,11,20.0
Gown protective,Genesee County,Jul-20,52.0,46,6,11.320754716981131
Gown protective,Genesee County,Aug-20,45.0,36,9,19.565217391304348
Gown protective,Genesee County,Sep-20,44.0,39,5,11.11111111111111
Gown protective,Washtenaw County,Jan-20,66.0,62,4,5.970149253731344
Gown protective,Washtenaw County,Feb-20,68.5,64,4,6.474820143884892
Gown protective,Washtenaw County,Mar-20,65.0,60,5,7.575757575757576
Gown protective,Washtenaw County,Apr-20,67.5,61,6,9.489051094890511
Gown protective,Washtenaw County,May-20,67.0,61,6,8.823529411764707
Gown protective,Washtenaw County,Jun-20,67.5,61,6,9.489051094890511
Gown protective,Washtenaw County,Jul-20,56.5,54,2,4.3478260869565215
Gown protective,Washtenaw County,Aug-20,58.5,54,4,7.563025210084033
Gown protective,Washtenaw County,Sep-20,55.0,54,1,1.7857142857142858
Gown protective,Kent County,Jan-20,76.0,73,3,3.896103896103896
Gown protective,Kent County,Feb-20,74.5,70,4,5.960264900662252
Gown protective,Kent County,Mar-20,72.5,69,3,4.761904761904762
Gown protective,Kent County,Apr-20,76.5,72,4,5.806451612903226
Gown protective,Kent County,May-20,74.0,68,6,8.0
Gown protective,Kent County,Jun-20,68.5,62,6,9.352517985611511
Gown protective,Kent County,Jul-20,59.5,58,1,2.479338842975207
Gown protective,Kent County,Aug-20,62.5,59,3,5.511811023622047
Gown protective,Kent County,Sep-20,60.0,60,0,0.0
Gown protective,Saginaw County,Jan-20,21.0,21,0,0.0
Gown protective,Saginaw County,Feb-20,24.0,24,0,0.0
Gown protective,Saginaw County,Mar-20,23.5,23,0,2.0408163265306123
Gown protective,Saginaw County,Apr-20,21.5,19,2,11.11111111111111
Gown protective,Saginaw County,May-20,22.5,20,2,10.638297872340425
Gown protective,Saginaw County,Jun-20,22.5,19,3,14.893617021276595
Gown protective,Saginaw County,Jul-20,19.5,20,0,2.4390243902439024
Gown protective,Saginaw County,Aug-20,17.5,16,1,8.108108108108109
Gown protective,Saginaw County,Sep-20,22.0,22,0,0.0
Gown protective,Ingham County,Jan-20,61.5,59,2,4.0
Gown protective,Ingham County,Feb-20,60.5,58,2,4.065040650406504
Gown protective,Ingham County,Mar-20,56.0,53,3,5.2631578947368425
Gown protective,Ingham County,Apr-20,60.5,56,4,7.317073170731708
Gown protective,Ingham County,May-20,60.5,56,4,7.317073170731708
Gown protective,Ingham County,Jun-20,54.5,49,5,9.90990990990991
Gown protective,Ingham County,Jul-20,48.5,48,0,1.0101010101010102
Gown protective,Ingham County,Aug-20,50.5,47,3,6.796116504854369
Gown protective,Ingham County,Sep-20,48.0,48,0,0.0
Gown protective,Livingston County,Jan-20,32.0,31,1,3.0303030303030303
Gown protective,Livingston County,Feb-20,32.0,31,1,3.0303030303030303
Gown protective,Livingston County,Mar-20,34.5,33,1,4.225352112676056
Gown protective,Livingston County,Apr-20,33.5,31,2,7.246376811594203
Gown protective,Livingston County,May-20,28.5,25,3,11.864406779661017
Gown protective,Livingston County,Jun-20,35.5,32,3,9.58904109589041
Gown protective,Livingston County,Jul-20,28.5,30,1,5.084745762711864
Gown protective,Livingston County,Aug-20,27.0,25,2,7.142857142857143
Gown protective,Livingston County,Sep-20,26.0,26,0,0.0
Gown protective,St. Clair County,Jan-20,80.0,77,3,3.7037037037037037
Gown protective,St. Clair County,Feb-20,77.0,74,3,3.8461538461538463
Gown protective,St. Clair County,Mar-20,80.0,76,4,4.938271604938271
Gown protective,St. Clair County,Apr-20,76.0,71,5,6.4935064935064934
Gown protective,St. Clair County,May-20,73.0,68,5,6.756756756756757
Gown protective,St. Clair County,Jun-20,73.5,68,5,7.382550335570469
Gown protective,St. Clair County,Jul-20,72.5,71,1,2.0408163265306123
Gown protective,St. Clair County,Aug-20,69.5,66,3,4.964539007092198
Gown protective,St. Clair County,Sep-20,67.0,67,0,0.0
Gown protective,Monroe County,Jan-20,55.0,53,2,3.5714285714285716
Gown protective,Monroe County,Feb-20,54.5,52,2,4.504504504504505
Gown protective,Monroe County,Mar-20,52.5,49,3,6.542056074766355
Gown protective,Monroe County,Apr-20,48.5,44,4,9.090909090909092
Gown protective,Monroe County,May-20,51.0,46,5,9.615384615384615
Gown protective,Monroe County,Jun-20,48.0,43,5,10.204081632653061
Gown protective,Monroe County,Jul-20,51.5,51,0,0.9523809523809523
Gown protective,Monroe County,Aug-20,48.5,42,6,13.131313131313131
Gown protective,Monroe County,Sep-20,47.5,44,3,7.216494845360825
Scrubs tops,Wayne County,Jan-20,26.5,26,0,1.8181818181818181
Scrubs tops,Wayne County,Feb-20,27.5,27,0,1.7543859649122806
Scrubs tops,Wayne County,Mar-20,22.5,21,1,6.382978723404255
Scrubs tops,Wayne County,Apr-20,25.5,23,2,9.433962264150944
Scrubs tops,Wayne County,May-20,24.5,21,3,13.72549019607843
Scrubs tops,Wayne County,Jun-20,26.5,23,3,12.727272727272727
Scrubs tops,Wayne County,Jul-20,19.5,20,0,2.4390243902439024
Scrubs tops,Wayne County,Aug-20,22.5,21,1,6.382978723404255
Scrubs tops,Wayne County,Sep-20,19.5,19,0,2.4390243902439024
Scrubs tops,Oakland County,Jan-20,20.5,20,0,2.3255813953488373
Scrubs tops,Oakland County,Feb-20,20.0,20,0,0.0
Scrubs tops,Oakland County,Mar-20,18.5,18,0,2.5641025641025643
Scrubs tops,Oakland County,Apr-20,15.5,13,2,15.151515151515152
Scrubs tops,Oakland County,May-20,14.5,12,2,16.129032258064516
Scrubs tops,Oakland County,Jun-20,17.0,14,3,16.666666666666668
Scrubs tops,Oakland County,Jul-20,15.0,16,1,6.25
Scrubs tops,Oakland County,Aug-20,17.0,16,1,5.555555555555555
Scrubs tops,Oakland County,Sep-20,15.5,15,0,3.0303030303030303
Scrubs tops,Macomb County,Jan-20,57.0,55,2,3.4482758620689653
