plant,product,month,capacity,production,absdiff,reldiff
MI-Pontiac,Gown protective,Jan-20,231,229,2,0.8620689655172413
MI-Pontiac,Gown protective,Feb-20,231,231,0,0.0
MI-Pontiac,Gown protective,Mar-20,231,231,0,0.0
MI-Pontiac,Gown protective,Apr-20,231,231,0,0.0
MI-Pontiac,Gown protective,May-20,231,231,0,0.0
MI-Pontiac,Gown protective,Jun-20,231,231,0,0.0
MI-Pontiac,Gown protective,Jul-20,231,228,3,1.293103448275862
MI-Pontiac,Gown protective,Aug-20,231,231,0,0.0
MI-Pontiac,Gown protective,Sep-20,231,217,14,6.0344827586206895
MI-Pontiac,Scrubs tops,Jan-20,102,102,0,0.0
MI-Pontiac,Scrubs tops,Feb-20,102,102,0,0.0
MI-Pontiac,Scrubs tops,Mar-20,102,100,2,1.941747572815534
MI-Pontiac,Scrubs tops,Apr-20,102,100,2,1.941747572815534
MI-Pontiac,Scrubs tops,May-20,102,102,0,0.0
MI-Pontiac,Scrubs tops,Jun-20,102,102,0,0.0
MI-Pontiac,Scrubs tops,Jul-20,102,100,2,1.941747572815534
MI-Pontiac,Scrubs tops,Aug-20,102,102,0,0.0
MI-Pontiac,Scrubs tops,Sep-20,102,101,1,0.970873786407767
MI-Pontiac,Lab screening test kit,Jan-20,245,156,89,36.17886178861789
MI-Pontiac,Lab screening test kit,Feb-20,245,162,83,33.739837398373986
MI-Pontiac,Lab screening test kit,Mar-20,245,167,78,31.70731707317073
MI-Pontiac,Lab screening test kit,Apr-20,245,179,66,26.829268292682926
MI-Pontiac,Lab screening test kit,May-20,245,174,71,28.86178861788618
MI-Pontiac,Lab screening test kit,Jun-20,245,179,66,26.829268292682926
MI-Pontiac,Lab screening test kit,Jul-20,245,165,80,32.520325203252035
MI-Pontiac,Lab screening test kit,Aug-20,245,146,99,40.24390243902439
MI-Pontiac,Lab screening test kit,Sep-20,245,174,71,28.86178861788618
MI-Pontiac,Lab extraction kit,Jan-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,Feb-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,Mar-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,Apr-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,May-20,164,1,163,98.78787878787878
MI-Pontiac,Lab extraction kit,Jun-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,Jul-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,Aug-20,164,0,164,99.39393939393939
MI-Pontiac,Lab extraction kit,Sep-20,164,0,164,99.39393939393939
MI-Pontiac,powered air purifying respirators,Jan-20,230,230,0,0.0
MI-Pontiac,powered air purifying respirators,Feb-20,230,229,1,0.4329004329004329
MI-Pontiac,powered air purifying respirators,Mar-20,230,228,2,0.8658008658008658
MI-Pontiac,powered air purifying respirators,Apr-20,230,230,0,0.0
MI-Pontiac,powered air purifying respirators,May-20,230,227,3,1.2987012987012987
MI-Pontiac,powered air purifying respirators,Jun-20,230,229,1,0.4329004329004329
MI-Pontiac,powered air purifying respirators,Jul-20,230,205,25,10.822510822510823
MI-Pontiac,powered air purifying respirators,Aug-20,230,230,0,0.0
MI-Pontiac,powered air purifying respirators,Sep-20,230,230,0,0.0
MI-Pontiac,Wipes,Jan-20,225,224,1,0.4424778761061947
MI-Pontiac,Wipes,Feb-20,225,222,3,1.3274336283185841
MI-Pontiac,Wipes,Mar-20,225,225,0,0.0
MI-Pontiac,Wipes,Apr-20,225,212,13,5.752212389380531
MI-Pontiac,Wipes,May-20,225,215,10,4.424778761061947
MI-Pontiac,Wipes,Jun-20,225,219,6,2.6548672566371683
MI-Pontiac,Wipes,Jul-20,225,205,20,8.849557522123893
MI-Pontiac,Wipes,Aug-20,225,224,1,0.4424778761061947
MI-Pontiac,Wipes,Sep-20,225,147,78,34.51327433628319
MI-Pontiac,Alcohol-based hand rub,Jan-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Feb-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Mar-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Apr-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,May-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Jun-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Jul-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Aug-20,48,0,48,97.95918367346938
MI-Pontiac,Alcohol-based hand rub,Sep-20,48,1,47,95.91836734693878
MI-Pontiac,"Chlorine, HTH 70%",Jan-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",Feb-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",Mar-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",Apr-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",May-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",Jun-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",Jul-20,112,0,112,99.11504424778761
MI-Pontiac,"Chlorine, HTH 70%",Aug-20,112,0,112,99.11504424778761
