product,market,month,value
Gown protective,Wayne County,Jan-20,727
Gown protective,Wayne County,Feb-20,750
Gown protective,Wayne County,Mar-20,735
Gown protective,Wayne County,Apr-20,737
Gown protective,Wayne County,May-20,724
Gown protective,Wayne County,Jun-20,711
Gown protective,Wayne County,Jul-20,721
Gown protective,Wayne County,Aug-20,732
Gown protective,Wayne County,Sep-20,717
Gown protective,Wayne County,Oct-20,750
Gown protective,Wayne County,Nov-20,744
Gown protective,Wayne County,Dec-20,745
Gown protective,Wayne County,Jan-20,733
Gown protective,Wayne County,Feb-20,749
Gown protective,Wayne County,Mar-20,715
Gown protective,Wayne County,Apr-20,759
Gown protective,Wayne County,May-20,741
Gown protective,Wayne County,Jun-20,748
Gown protective,Wayne County,Jul-20,755
Gown protective,Wayne County,Aug-20,716
Gown protective,Wayne County,Sep-20,730
Gown protective,Wayne County,Oct-20,757
Gown protective,Wayne County,Nov-20,725
Gown protective,Wayne County,Dec-20,732
Gown protective,Oakland County,Jan-20,713
Gown protective,Oakland County,Feb-20,713
Gown protective,Oakland County,Mar-20,745
Gown protective,Oakland County,Apr-20,742
Gown protective,Oakland County,May-20,752
Gown protective,Oakland County,Jun-20,745
Gown protective,Oakland County,Jul-20,758
Gown protective,Oakland County,Aug-20,757
Gown protective,Oakland County,Sep-20,716
Gown protective,Oakland County,Oct-20,711
Gown protective,Oakland County,Nov-20,739
Gown protective,Oakland County,Dec-20,755
Gown protective,Oakland County,Jan-20,735
Gown protective,Oakland County,Feb-20,713
Gown protective,Oakland County,Mar-20,732
Gown protective,Oakland County,Apr-20,722
Gown protective,Oakland County,May-20,753
Gown protective,Oakland County,Jun-20,757
Gown protective,Oakland County,Jul-20,718
Gown protective,Oakland County,Aug-20,756
Gown protective,Oakland County,Sep-20,750
Gown protective,Oakland County,Oct-20,727
Gown protective,Oakland County,Nov-20,753
Gown protective,Oakland County,Dec-20,744
Gown protective,Macomb County,Jan-20,753
Gown protective,Macomb County,Feb-20,711
Gown protective,Macomb County,Mar-20,719
Gown protective,Macomb County,Apr-20,758
Gown protective,Macomb County,May-20,758
Gown protective,Macomb County,Jun-20,722
Gown protective,Macomb County,Jul-20,731
Gown protective,Macomb County,Aug-20,718
Gown protective,Macomb County,Sep-20,755
Gown protective,Macomb County,Oct-20,718
Gown protective,Macomb County,Nov-20,755
Gown protective,Macomb County,Dec-20,737
Gown protective,Macomb County,Jan-20,721
Gown protective,Macomb County,Feb-20,752
Gown protective,Macomb County,Mar-20,718
Gown protective,Macomb County,Apr-20,755
Gown protective,Macomb County,May-20,752
Gown protective,Macomb County,Jun-20,729
Gown protective,Macomb County,Jul-20,720
Gown protective,Macomb County,Aug-20,717
