plant,product,value
MI-Pontiac,Gown protective,103
MI-Pontiac,Scrubs tops,107.5
MI-Pontiac,Lab screening test kit,112.5
MI-Pontiac,Lab extraction kit,121
MI-Pontiac,powered air purifying respirators,123.5
MI-Pontiac,Wipes,130.5
MI-Pontiac,Alcohol-based hand rub,135.5
MI-Pontiac,"Chlorine, HTH 70%",141.5
MI-Pontiac,Safety box,146.5
MI-Pontiac,Non contact infrared Thermometer,150
MI-Pontiac,Goggles protective,151
MI-Pontiac,Disposable foot covers,155.5
MI-Pontiac,M4 viral media,161.5
MI-Pontiac,Triple packaging boxes,168.5
MI-Pontiac,Liquid soap,172
MI-Pontiac,Mask medical,175.5
MI-Pontiac,Scrubs pants,184.5
MI-Pontiac,Face shield,191.5
MI-Pontiac,Gloves,196
MI-Pontiac,Nasal testing swabs,201
MI-Pontiac,InvasiveVentilators,204
MI-Pontiac,Non Invasive Ventilators,212.5
MI-Pontiac,BioHazard Liner bags 2gallon,218
MI-Pontiac,BioHazard Liner bags 44gallon,222
MI-Pontiac,Blue Solied Linen bags,227.5
MI-Pontiac,Syringes,232.5
MI-Pontiac,IV Catheters,234.5
MI-Pontiac,Needles,242.5
MI-Pontiac,Surface Disinfectant 1 Gallon,246
MI-Sagnaw,Gown protective,103
MI-Sagnaw,Scrubs tops,111
MI-Sagnaw,Lab screening test kit,115.5
MI-Sagnaw,Lab extraction kit,122
MI-Sagnaw,powered air purifying respirators,123
MI-Sagnaw,Wipes,128
MI-Sagnaw,Alcohol-based hand rub,136
MI-Sagnaw,"Chlorine, HTH 70%",141
MI-Sagnaw,Safety box,143
MI-Sagnaw,Non contact infrared Thermometer,151
MI-Sagnaw,Goggles protective,151
MI-Sagnaw,Disposable foot covers,158.5
MI-Sagnaw,M4 viral media,162.5
MI-Sagnaw,Triple packaging boxes,166
MI-Sagnaw,Liquid soap,172.5
MI-Sagnaw,Mask medical,178
MI-Sagnaw,Scrubs pants,185
MI-Sagnaw,Face shield,192.5
MI-Sagnaw,Gloves,195.5
MI-Sagnaw,Nasal testing swabs,199
MI-Sagnaw,InvasiveVentilators,205.5
MI-Sagnaw,Non Invasive Ventilators,212
MI-Sagnaw,BioHazard Liner bags 2gallon,216.5
MI-Sagnaw,BioHazard Liner bags 44gallon,219
MI-Sagnaw,Blue Solied Linen bags,226
MI-Sagnaw,Syringes,231.5
MI-Sagnaw,IV Catheters,234
MI-Sagnaw,Needles,242.5
MI-Sagnaw,Surface Disinfectant 1 Gallon,248
MI-Dearborn,Gown protective,103
MI-Dearborn,Scrubs tops,107.5
MI-Dearborn,Lab screening test kit,117
MI-Dearborn,Lab extraction kit,118
MI-Dearborn,powered air purifying respirators,125
MI-Dearborn,Wipes,129.5
MI-Dearborn,Alcohol-based hand rub,134
MI-Dearborn,"Chlorine, HTH 70%",137.5
MI-Dearborn,Safety box,147
MI-Dearborn,Non contact infrared Thermometer,149.5
MI-Dearborn,Goggles protective,153.5
MI-Dearborn,Disposable foot covers,159
MI-Dearborn,M4 viral media,162.5
MI-Dearborn,Triple packaging boxes,170
MI-Dearborn,Liquid soap,174
MI-Dearborn,Mask medical,180
MI-Dearborn,Scrubs pants,185
MI-Dearborn,Face shield,189.5
MI-Dearborn,Gloves,195
MI-Dearborn,Nasal testing swabs,201
MI-Dearborn,InvasiveVentilators,206
MI-Dearborn,Non Invasive Ventilators,208.5
MI-Dearborn,BioHazard Liner bags 2gallon,216.5
MI-Dearborn,BioHazard Liner bags 44gallon,222
MI-Dearborn,Blue Solied Linen bags,226.5
